arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
beets/util/pipeline.py,funcao,_allmsgs,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/pipeline.py,funcao,_run_in_context,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/pipeline.py,funcao,abort,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/pipeline.py,funcao,abort_all,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/pipeline.py,funcao,run,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/pipeline.py,funcao,run_sequential,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/pipeline.py,funcao,run_parallel,2,3,7,9,5,16,6.7549,37.1508,3.0,111.4525,6.1918,0.0124
beets/util/pipeline.py,funcao,pull,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/units.py,funcao,raw_seconds_short,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
beets/util/units.py,funcao,human_seconds_short,2,2,2,4,4,6,4.0,12.0,2.0,24.0,1.3333,0.004
beets/util/units.py,funcao,human_bytes,2,2,2,4,4,6,4.0,12.0,2.0,24.0,1.3333,0.004
beets/util/units.py,funcao,human_seconds,5,7,6,11,12,17,31.2611,60.9444,3.9286,239.4243,13.3013,0.0203
beets/util/__init__.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,_gerund,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
beets/util/__init__.py,funcao,_reasonstr,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,get_message,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
beets/util/__init__.py,funcao,log,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,normpath,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,ancestry,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/__init__.py,funcao,sorted_walk,3,5,4,6,8,10,16.3645,30.0,1.8,54.0,3.0,0.01
beets/util/__init__.py,funcao,path_as_posix,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,mkdirall,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/util/__init__.py,funcao,fnmatch_all,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/util/__init__.py,funcao,prune_dirs,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
beets/util/__init__.py,funcao,components,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,bytestring_path,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/util/__init__.py,funcao,displayable_path,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/util/__init__.py,funcao,syspath,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
beets/util/__init__.py,funcao,samefile,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/__init__.py,funcao,remove,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
beets/util/__init__.py,funcao,copy,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,move,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,link,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,hardlink,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
beets/util/__init__.py,funcao,reflink,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,unique_path,2,8,5,8,10,13,26.0,43.1851,1.0,43.1851,2.3992,0.0144
beets/util/__init__.py,funcao,sanitize_path,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,truncate_str,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,truncate_path,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,_legalize_stage,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
beets/util/__init__.py,funcao,legalize_path,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/util/__init__.py,funcao,str2bool,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/__init__.py,funcao,as_string,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/__init__.py,funcao,plurality,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/util/__init__.py,funcao,get_most_common_tags,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/util/__init__.py,funcao,command_output,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/util/__init__.py,funcao,get_max_filename_length,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,open_anything,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
beets/util/__init__.py,funcao,editor_command,1,3,1,3,4,4,4.7549,8.0,0.5,4.0,0.2222,0.0027
beets/util/__init__.py,funcao,interactive_open,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/util/__init__.py,funcao,case_sensitive,4,15,10,15,19,25,66.6034,106.1982,2.0,212.3964,11.7998,0.0354
beets/util/__init__.py,funcao,asciify_path,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,par_map,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,__set_name__,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,__get__,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
beets/util/__init__.py,funcao,get_module_tempdir,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
beets/util/__init__.py,funcao,clean_module_tempdir,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,get_temp_filename,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/util/__init__.py,funcao,unique_list,0,0,0,0,0,0,0,0,0,0,0,0
beets/util/__init__.py,funcao,chunks,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
